idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
106.0,0.514363972332317,8.738160033170809,14.222733321920801,3.77310491973028,52.5,51.63,287.0,0.24,1.87978034637772,1.66160543862428,1.7752576554579198,0.0,4.0
24.0,0.413392016268647,9.0223296323607,12.0446144795187,3.4756268244772204,45.0,44.25,295.0,0.26,1.8714714666159495,1.7645801878874,1.85109716473564,0.0,3.0
36.0,0.29476380160519,8.18697160174493,15.7572342484112,3.9703636133961298,47.5,46.31,356.0,0.5,3.01616592751886,2.65417689029059,2.725752729152,0.0,6.0
53.0,0.205589440201633,8.930669232558401,11.450117654909,3.3865263982729,47.5,46.74,284.0,0.23,1.77997611173253,1.67240359892784,1.73544060808038,0.0,3.0
83.0,0.237928926691417,8.3270044117776,15.5338714188136,3.9423563249514095,52.5,51.48,360.0,0.48,2.68784149410052,2.66989567973747,2.7565244115908505,0.0,2.0
162.0,0.34630430778057003,9.45373121180591,12.3314724273379,3.51165438194359,57.5,56.87,309.0,0.29,1.91660721111988,1.9024793784834704,1.94426788036911,0.0,2.0
92.0,0.558465346249936,8.26263157066557,18.0473582108237,4.2539989566330405,52.5,51.35,346.0,0.4,2.61086517866349,2.35306044984158,2.55330510798316,0.0,4.0
89.0,0.49741560851196,8.33177207060219,15.138669853404,3.89082290110594,52.5,51.54,351.0,0.44,2.52675406982753,2.50255669620863,2.57735769776551,0.0,5.0
164.0,0.601672464100995,10.3358408206141,12.764371385518901,3.5733076043264704,60.0,59.0,355.0,0.41,2.6690929632075298,2.55239532283213,2.6879016394657405,0.0,3.0
26.0,0.448618057145039,7.90083585665246,16.8251543679428,4.10193733744224,47.5,46.21,377.0,0.61,3.1292167412955294,3.10944442365464,3.1696514311189503,0.0,5.0
172.0,0.409086881948448,10.936855728366899,11.6740404237186,3.4166964015232097,60.0,59.21,318.0,0.28,2.10653218285535,1.96739151087351,2.06406238752433,0.0,3.0
147.0,0.468625991165389,7.46885314589723,17.989396162349102,4.2413791598227695,55.0,54.17,345.0,0.39,2.4025921614632,2.38828393988793,2.4672307371065,0.0,1.0
77.0,0.261317503413388,7.342152216077559,18.4504398485529,4.29645315799042,50.0,49.05,357.0,0.47,2.6272776547224903,2.63491057697613,2.70531995064586,0.0,1.0
141.0,0.321690765080141,8.54385410254502,15.69923586457,3.9660887249453394,57.5,56.45,370.0,0.51,2.91360398158934,2.8924920616457896,2.98772264516954,0.0,2.0
127.0,0.466130139290908,7.88148914973122,14.2919857912579,3.7804440806334703,52.5,51.89,292.0,0.24,1.7610717025525302,1.76648046103713,1.7926209633534598,0.0,1.0
34.0,0.37399881212077296,8.00750326990445,16.6072184127981,4.07688563637411,47.5,46.3,360.0,0.5,2.81534906273288,2.69457672625557,2.8182612726699303,0.0,3.0
17.0,0.224814953247518,8.18744468345925,14.445775467458501,3.80083093868958,45.0,44.11,326.0,0.35,2.21382821982242,2.1072113145971296,2.2126075264279903,0.0,3.0
112.0,0.352854450437586,7.39857378070817,17.956750579978603,4.23784408883545,52.5,51.59,355.0,0.45,2.5682098609401,2.56275186702937,2.64570129277209,0.0,1.0
